YouAreMyDad, mult/DIV-v8, DIV, Pass, dt10, 
YouAreMyDad, mult/MFHI-v1, MFHI, Pass, dt10, 
YouAreMyDad, mult/MFHI-v2, MFHI, Pass, dt10, 
YouAreMyDad, mult/MFHI-v3, MFHI, Pass, dt10, 
YouAreMyDad, mult/MFLO-v1, MFLO, Pass, dt10, 
YouAreMyDad, mult/MFLO-v2, MFLO, Pass, dt10, 
YouAreMyDad, mult/MFLO-v3, MFLO, Pass, dt10, 
YouAreMyDad, mult/MTHI-v1, MTHI, Pass, dt10, 
YouAreMyDad, mult/MTHI-v2, MTHI, Pass, dt10, 
YouAreMyDad, mult/MULTU-v1, MULTU, Pass, dt10, 
YouAreMyDad, mult/MULTU-v2, MULTU, Pass, dt10, 
YouAreMyDad, mult/MULTU-v3, MULTU, Pass, dt10, 
YouAreMyDad, mult/MULTU-v4, MULTU, Pass, dt10, 
YouAreMyDad, mult/MULTU-v5, MULTU, Pass, dt10, 
YouAreMyDad, mult/MULTU-v6, MULTU, Pass, dt10, 
YouAreMyDad, mult/MULTU-v7, MULTU, Pass, dt10, 
YouAreMyDad, mult/MULT-v1, MULT, Pass, dt10, 
YouAreMyDad, mult/MULT-v2, MULT, Pass, dt10, 
YouAreMyDad, mult/MULT-v3, MULT, Pass, dt10, 
YouAreMyDad, mult/MULT-v4, MULT, Pass, dt10, 
YouAreMyDad, mult/MULT-v5, MULT, Pass, dt10, 
YouAreMyDad, mult/MULT-v6, MULT, Pass, dt10, 
YouAreMyDad, mult/MULT-v7, MULT, Pass, dt10, 
YouAreMyDad, mult/MULT-v8, MULT, Pass, dt10, 
YouAreMyDad, shift/SLL-v1, SLL, Pass, dt10, 
YouAreMyDad, shift/SLL-v2, SLL, Pass, dt10, 
YouAreMyDad, shift/SLL-v3, SLL, Pass, dt10, 
YouAreMyDad, shift/SLLV-v1, SLLV, Pass, dt10, 
YouAreMyDad, shift/SLLV-v2, SLLV, Pass, dt10, 
YouAreMyDad, shift/SLLV-v3, SLLV, Pass, dt10, 
YouAreMyDad, shift/SRA-v1, SRA, Pass, dt10, 
YouAreMyDad, shift/SRA-v2, SRA, Pass, dt10, 
YouAreMyDad, shift/SRA-v3, SRA, Pass, dt10, 
YouAreMyDad, shift/SRA-v4, SRA, Pass, dt10, 
YouAreMyDad, shift/SRA-v5, SRA, Pass, dt10, 
YouAreMyDad, shift/SRAV-v1, SRAV, Pass, dt10, 
YouAreMyDad, shift/SRAV-v2, SRAV, Pass, dt10, 
YouAreMyDad, shift/SRAV-v3, SRAV, Pass, dt10, 
YouAreMyDad, shift/SRAV-v4, SRAV, Pass, dt10, 
YouAreMyDad, shift/SRAV-v5, SRAV, Pass, dt10, 
YouAreMyDad, shift/SRL-v1, SRL, Pass, dt10, 
YouAreMyDad, shift/SRL-v2, SRL, Pass, dt10, 
YouAreMyDad, shift/SRL-v3, SRL, Pass, dt10, 
YouAreMyDad, shift/SRL-v4, SRL, Pass, dt10, 
YouAreMyDad, shift/SRL-v5, SRL, Pass, dt10, 
YouAreMyDad, shift/SRLV-v1, SRLV, Pass, dt10, 
YouAreMyDad, shift/SRLV-v2, SRLV, Pass, dt10, 
YouAreMyDad, shift/SRLV-v3, SRLV, Pass, dt10, 
YouAreMyDad, shift/SRLV-v4, SRLV, Pass, dt10, 
YouAreMyDad, shift/SRLV-v5, SRLV, Pass, dt10, 
